track_name,album_single,year,nZk,vocalist
悲しみを乗り越えて,牙狼<GARO>スペシャル ～白夜の魔獣～,2007,0,
翼 -天空の覇者-,牙狼<GARO>スペシャル ～白夜の魔獣～,2007,0,
白夜騎士,牙狼<GARO>スペシャル ～白夜の魔獣～,2007,0,
決戦,牙狼<GARO>スペシャル ～白夜の魔獣～,2007,0,
大逆転,牙狼<GARO>スペシャル ～白夜の魔獣～,2007,0,
RIN,牙狼<GARO>スペシャル ～白夜の魔獣～,2007,0,
motherhood ～me & my mom～<Main Theme>,東京タワー ～オカンとボクと、時々、オトン～,2007,0,河合夕子
motherhood ～me & my mom～<Main Theme>,東京タワー ～オカンとボクと、時々、オトン～,2007,0,仁科かおり
Tang,東京タワー ～オカンとボクと、時々、オトン～,2007,0,仁科かおり
Sometimes O・T・O・N,東京タワー ～オカンとボクと、時々、オトン～,2007,0,
classic or rock,東京タワー ～オカンとボクと、時々、オトン～,2007,0,
Dear My Home Town <Guitar Ver.>,東京タワー ～オカンとボクと、時々、オトン～,2007,0,河合夕子
passive days,東京タワー ～オカンとボクと、時々、オトン～,2007,0,
troublemaker,東京タワー ～オカンとボクと、時々、オトン～,2007,0,
Boo-Boo-Booing,東京タワー ～オカンとボクと、時々、オトン～,2007,0,
Yah-Guitar Man,東京タワー ～オカンとボクと、時々、オトン～,2007,0,
loosing the word,東京タワー ～オカンとボクと、時々、オトン～,2007,0,河合夕子
sophisticated love <Strings Ver.>,東京タワー ～オカンとボクと、時々、オトン～,2007,0,
Theatre of Okan & Oton,東京タワー ～オカンとボクと、時々、オトン～,2007,0,
Tang <Okan & Boku Ver.>,東京タワー ～オカンとボクと、時々、オトン～,2007,0,
cry,東京タワー ～オカンとボクと、時々、オトン～,2007,0,
sophisticated love,東京タワー ～オカンとボクと、時々、オトン～,2007,0,河合夕子
sophisticated love,東京タワー ～オカンとボクと、時々、オトン～,2007,0,仁科かおり
Dear My Home Town,東京タワー ～オカンとボクと、時々、オトン～,2007,0,
motherhood ～me & my mom～ <Vocal Ver.>,東京タワー ～オカンとボクと、時々、オトン～,2007,0,関山藍果
蕾 <Instrumental>,東京タワー ～オカンとボクと、時々、オトン～,2007,0,
BLOOD ～Main Theme～,孤独の賭け〜愛しき人よ〜,2007,0,
VENOMOUS,孤独の賭け〜愛しき人よ〜,2007,0,
gravity,孤独の賭け〜愛しき人よ〜,2007,0,
Big Break,孤独の賭け〜愛しき人よ〜,2007,0,
plot,孤独の賭け〜愛しき人よ〜,2007,0,
Thousand Seeds,孤独の賭け〜愛しき人よ〜,2007,0,
out & out,孤独の賭け〜愛しき人よ〜,2007,0,
BLOOD <sax & strings ver.>,孤独の賭け〜愛しき人よ〜,2007,0,
BET,孤独の賭け〜愛しき人よ〜,2007,0,
stillness,孤独の賭け〜愛しき人よ〜,2007,0,
SURVIVE,孤独の賭け〜愛しき人よ〜,2007,0,
Rising Moon,孤独の賭け〜愛しき人よ〜,2007,0,
gravity <piano solo ver.>,孤独の賭け〜愛しき人よ〜,2007,0,
dense fog,孤独の賭け〜愛しき人よ〜,2007,0,
beyond the time,孤独の賭け〜愛しき人よ〜,2007,0,
Beckon,孤独の賭け〜愛しき人よ〜,2007,0,
Thousand Seeds <violin & cello ver.>,孤独の賭け〜愛しき人よ〜,2007,0,
BLOOD <flugelforn & strings ver.>,孤独の賭け〜愛しき人よ〜,2007,0,
Rising Moon <piano & quartet ver.>,孤独の賭け〜愛しき人よ〜,2007,0,
Climb to the Top,孤独の賭け〜愛しき人よ〜,2007,0,
alone,孤独の賭け〜愛しき人よ〜,2007,0,
孤独のカケラ <violin & piano solo ver.>,孤独の賭け〜愛しき人よ〜,2007,0,
Main Theme,ZOMBIE-LOAN,2007,0,
カルメラ,ZOMBIE-LOAN,2007,0,
ZOMBIE,ZOMBIE-LOAN,2007,0,
Solitary Serenade,ZOMBIE-LOAN,2007,0,関山藍果
Wall of Fog,ZOMBIE-LOAN,2007,0,
BUTTERFLY,ZOMBIE-LOAN,2007,0,
read a riddle,ZOMBIE-LOAN,2007,0,
董奉,ZOMBIE-LOAN,2007,0,
A-LOAN,ZOMBIE-LOAN,2007,0,
Horror,ZOMBIE-LOAN,2007,0,
輪,ZOMBIE-LOAN,2007,0,
終わりなき闇,ZOMBIE-LOAN,2007,0,
鼈甲,ZOMBIE-LOAN,2007,0,
Z,ZOMBIE-LOAN,2007,0,
battle field,ZOMBIE-LOAN,2007,0,
REAPER,ZOMBIE-LOAN,2007,0,
Shito & Chika,ZOMBIE-LOAN,2007,0,
confront,ZOMBIE-LOAN,2007,0,
get into a jam,ZOMBIE-LOAN,2007,0,
Confinement,ZOMBIE-LOAN,2007,0,
insanity,ZOMBIE-LOAN,2007,0,
陽射,ZOMBIE-LOAN,2007,0,
Pa-Si-Ri,ZOMBIE-LOAN,2007,0,
transparent,ZOMBIE-LOAN,2007,0,
Good Friend?,ZOMBIE-LOAN,2007,0,
Powder,ZOMBIE-LOAN,2007,0,
Live or Dead,ZOMBIE-LOAN,2007,0,
灰色の霧,ZOMBIE-LOAN,2007,0,
アンデッド,ZOMBIE-LOAN,2007,0,
アーク,ZOMBIE-LOAN,2007,0,
Michiru,ZOMBIE-LOAN,2007,0,
緊迫,ZOMBIE-LOAN,2007,0,
Main Theme ～strings ver.～,ZOMBIE-LOAN,2007,0,
側にある死,ZOMBIE-LOAN,2007,0,
scare,ZOMBIE-LOAN,2007,0,
nightmare,ZOMBIE-LOAN,2007,0,
涙,ZOMBIE-LOAN,2007,0,
breathe one's last,ZOMBIE-LOAN,2007,0,
cruel,ZOMBIE-LOAN,2007,0,
Save Your Soul,ZOMBIE-LOAN,2007,0,紀多みちる(桑島法子)
Don't love me★baby,ZOMBIE-LOAN,2007,0,芝怜一朗(諏訪部順一)
Another sky,ZOMBIE-LOAN,2007,0,赤月知佳(鈴村健一)
Survive,ZOMBIE-LOAN,2007,0,赤月知佳(鈴村健一)
Survive,ZOMBIE-LOAN,2007,0,橘思徒(櫻井孝宏)
WWW～赤道の冬,機神大戦ギガンティック・フォーミュラ,2007,0,
MAIN THEME,機神大戦ギガンティック・フォーミュラ,2007,0,
Practical Base,機神大戦ギガンティック・フォーミュラ,2007,0,
UN,機神大戦ギガンティック・フォーミュラ,2007,0,
EM-cloud,機神大戦ギガンティック・フォーミュラ,2007,0,
兆し,機神大戦ギガンティック・フォーミュラ,2007,0,
覚醒,機神大戦ギガンティック・フォーミュラ,2007,0,
Translator,機神大戦ギガンティック・フォーミュラ,2007,0,
影,機神大戦ギガンティック・フォーミュラ,2007,0,
waning moon,機神大戦ギガンティック・フォーミュラ,2007,0,
BRAVE,機神大戦ギガンティック・フォーミュラ,2007,0,
戦闘,機神大戦ギガンティック・フォーミュラ,2007,0,
Theme of MANA,機神大戦ギガンティック・フォーミュラ,2007,0,
閃光,機神大戦ギガンティック・フォーミュラ,2007,0,
Theme of SHINGO,機神大戦ギガンティック・フォーミュラ,2007,0,
Okutamada-Princess,機神大戦ギガンティック・フォーミュラ,2007,0,
LEGEND,機神大戦ギガンティック・フォーミュラ,2007,0,
ユーノワVIII ～アルゴスの百目,機神大戦ギガンティック・フォーミュラ,2007,0,
Out Break,機神大戦ギガンティック・フォーミュラ,2007,0,
destroyer,機神大戦ギガンティック・フォーミュラ,2007,0,
信頼,機神大戦ギガンティック・フォーミュラ,2007,0,
Ring,機神大戦ギガンティック・フォーミュラ,2007,0,
JUPITAR II,機神大戦ギガンティック・フォーミュラ,2007,0,
darkness & blaze,機神大戦ギガンティック・フォーミュラ,2007,0,
ブレイクタイム,機神大戦ギガンティック・フォーミュラ,2007,0,
Gigantic Formula,機神大戦ギガンティック・フォーミュラ,2007,0,
記憶,機神大戦ギガンティック・フォーミュラ,2007,0,
希望,機神大戦ギガンティック・フォーミュラ,2007,0,
Theme of MANA <cello & piano ver.>,機神大戦ギガンティック・フォーミュラ,2007,0,
機神,機神大戦ギガンティック・フォーミュラ,2007,0,
bravery,機神大戦ギガンティック・フォーミュラ,2007,0,
眩惑,機神大戦ギガンティック・フォーミュラ,2007,0,
Heaven only knows ～オニクス13～,機神大戦ギガンティック・フォーミュラ,2007,0,
離別,機神大戦ギガンティック・フォーミュラ,2007,0,
覚悟,機神大戦ギガンティック・フォーミュラ,2007,0,
スサノオ十式,機神大戦ギガンティック・フォーミュラ,2007,0,
energy crisis,機神大戦ギガンティック・フォーミュラ,2007,0,
意思,機神大戦ギガンティック・フォーミュラ,2007,0,
劣勢,機神大戦ギガンティック・フォーミュラ,2007,0,
white tone,機神大戦ギガンティック・フォーミュラ,2007,0,
絆,機神大戦ギガンティック・フォーミュラ,2007,0,
巨神頭像,機神大戦ギガンティック・フォーミュラ,2007,0,
G-F,機神大戦ギガンティック・フォーミュラ,2007,0,
予感,機神大戦ギガンティック・フォーミュラ,2007,0,
Thirteenth God,機神大戦ギガンティック・フォーミュラ,2007,0,
郷愁,機神大戦ギガンティック・フォーミュラ,2007,0,
恋心,機神大戦ギガンティック・フォーミュラ,2007,0,
main theme <strings ver.>,機神大戦ギガンティック・フォーミュラ,2007,0,
疑念,機神大戦ギガンティック・フォーミュラ,2007,0,
ENEMY,機神大戦ギガンティック・フォーミュラ,2007,0,
for you,機神大戦ギガンティック・フォーミュラ,2007,0,
Backyard,機神大戦ギガンティック・フォーミュラ,2007,0,
共鳴,機神大戦ギガンティック・フォーミュラ,2007,0,
main theme <piano ver.>,機神大戦ギガンティック・フォーミュラ,2007,0,
終幕,機神大戦ギガンティック・フォーミュラ,2007,0,
模擬戦,機神大戦ギガンティック・フォーミュラ,2007,0,
HI-KA-RI,機神大戦ギガンティック・フォーミュラ,2007,0,
摩擦,機神大戦ギガンティック・フォーミュラ,2007,0,
MAIN THEME <ver. 0>,機神大戦ギガンティック・フォーミュラ,2007,0,
自虐の詩,自虐の詩,2007,0,
ALL IN ALL,自虐の詩,2007,0,
Passionate Tango,自虐の詩,2007,0,
the ups and downs of Life,自虐の詩,2007,0,
自虐の人,自虐の詩,2007,0,
幸せになれますように,自虐の詩,2007,0,
nocturne,自虐の詩,2007,0,
自虐の街,自虐の詩,2007,0,
OVERTURN-GO,自虐の詩,2007,0,
心の声,自虐の詩,2007,0,
自虐の音,自虐の詩,2007,0,
近くにいても、遠くにいても、嬉しい時も、悲しい時も...,自虐の詩,2007,0,
気仙沼牛乳,自虐の詩,2007,0,
自虐の家,自虐の詩,2007,0,
poor & pure,自虐の詩,2007,0,
nocturne ～reprise～,自虐の詩,2007,0,
I love you,自虐の詩,2007,0,関山藍果
DRAGON RISES,医龍 -Team Medical Dragon- 2,2007,0,
BLUE DRAGON <'07 ver.>,医龍 -Team Medical Dragon- 2,2007,0,
Engel und Teufel,医龍 -Team Medical Dragon- 2,2007,0,
Feind oder Freund,医龍 -Team Medical Dragon- 2,2007,0,
Intrigant,医龍 -Team Medical Dragon- 2,2007,0,
entlassen,医龍 -Team Medical Dragon- 2,2007,0,
In The Box,医龍 -Team Medical Dragon- 2,2007,0,
thick tone,医龍 -Team Medical Dragon- 2,2007,0,
spirit <strings ver.>,医龍 -Team Medical Dragon- 2,2007,0,
RED DRAGON <'07 ver.>,医龍 -Team Medical Dragon- 2,2007,0,
Aesthetic,医龍 -Team Medical Dragon- 2,2007,0,関山藍果
Battle with silence,医龍 -Team Medical Dragon- 2,2007,0,
OUT BALANCE,医龍 -Team Medical Dragon- 2,2007,0,
Eugel und Teufel <piano & cello ver.>,医龍 -Team Medical Dragon- 2,2007,0,
psychological warfare,医龍 -Team Medical Dragon- 2,2007,0,
BLACk SMILe,医龍 -Team Medical Dragon- 2,2007,0,
spirit <guitar ver.>,医龍 -Team Medical Dragon- 2,2007,0,
Northern Sea,医龍 -Team Medical Dragon- 2,2007,0,
BLUE DRAGON <strings ver.>,医龍 -Team Medical Dragon- 2,2007,0,
ONE <soundtrack ver.>,医龍 -Team Medical Dragon- 2,2007,0,
iN thE suN,陰日向に咲く,2008,0,
陰日向の人々,陰日向に咲く,2008,0,
O-T@-KU,陰日向に咲く,2008,0,
flower,陰日向に咲く,2008,0,
iN AsakusA,陰日向に咲く,2008,0,
Poooo-$,陰日向に咲く,2008,0,
初恋,陰日向に咲く,2008,0,
もも缶,陰日向に咲く,2008,0,
FEVER!?,陰日向に咲く,2008,0,
kiss the flower,陰日向に咲く,2008,0,
Reunion,陰日向に咲く,2008,0,
オレです…,陰日向に咲く,2008,0,
awkward,陰日向に咲く,2008,0,
ゆうすけさんへ,陰日向に咲く,2008,0,
Yearn for Moses,陰日向に咲く,2008,0,
NARUKO and RAITA,陰日向に咲く,2008,0,
Lost My Mother,陰日向に咲く,2008,0,
Umbrella,陰日向に咲く,2008,0,
jupiter,陰日向に咲く,2008,0,
After The Rain,陰日向に咲く,2008,0,
拝啓、僕のアイドル様。,陰日向に咲く,2008,0,
charm,陰日向に咲く,2008,0,
My Way Home,陰日向に咲く,2008,0,
Back to the Starting Point,貧乏男子 ボンビーメン,2008,0,
BOMB BEE MEN!,貧乏男子 ボンビーメン,2008,0,
friends,貧乏男子 ボンビーメン,2008,0,
a sLicE oF LiFE,貧乏男子 ボンビーメン,2008,0,
OUTLAW,貧乏男子 ボンビーメン,2008,0,
OmuOmu Theme,貧乏男子 ボンビーメン,2008,0,
The man who is in great request,貧乏男子 ボンビーメン,2008,0,
OmuOmu-Blues,貧乏男子 ボンビーメン,2008,0,
DECISION,貧乏男子 ボンビーメン,2008,0,
Life's tapestry,貧乏男子 ボンビーメン,2008,0,
SONIC BOOM,貧乏男子 ボンビーメン,2008,0,
A.I.R-K.I.C.K.-Y.A.H.!!,貧乏男子 ボンビーメン,2008,0,
money < heart ??,貧乏男子 ボンビーメン,2008,0,
friends <guitar version>,貧乏男子 ボンビーメン,2008,0,
debt,貧乏男子 ボンビーメン,2008,0,
That's All Right!?!,貧乏男子 ボンビーメン,2008,0,
TAKE A DARE,貧乏男子 ボンビーメン,2008,0,
Life's tapestry <piano version>,貧乏男子 ボンビーメン,2008,0,
mjyu,貧乏男子 ボンビーメン,2008,0,
Back to the Starting Point <sax and strings version>,貧乏男子 ボンビーメン,2008,0,
モノクローム <soundtrack version>,貧乏男子 ボンビーメン,2008,0,
桜時計,HAVE A NICE DAY,2008,0,
Have A Nice Day!!,HAVE A NICE DAY,2008,0,
Little Wing,HAVE A NICE DAY,2008,0,
Together,HAVE A NICE DAY,2008,0,
ついておいで,HAVE A NICE DAY,2008,0,
DIVE,ハチワンダイバー,2008,0,
81DIVER,ハチワンダイバー,2008,0,
CHECKMATE,ハチワンダイバー,2008,0,
BISHOP,ハチワンダイバー,2008,0,
LANCE,ハチワンダイバー,2008,0,
ENDGAME,ハチワンダイバー,2008,0,
GOLD,ハチワンダイバー,2008,0,大川茂奈美
MOVE,ハチワンダイバー,2008,0,
SILVER,ハチワンダイバー,2008,0,
KNIGHT,ハチワンダイバー,2008,0,仁科かおり
CHECKMATE <piano & strings version>,ハチワンダイバー,2008,0,
WHITE,ハチワンダイバー,2008,0,
PAWN,ハチワンダイバー,2008,0,
KING,ハチワンダイバー,2008,0,
ROOK,ハチワンダイバー,2008,0,
DROP,ハチワンダイバー,2008,0,
RANK,ハチワンダイバー,2008,0,
CASTLE,ハチワンダイバー,2008,0,
BLACK,ハチワンダイバー,2008,0,
FILE,ハチワンダイバー,2008,0,
GOLD <strings version>,ハチワンダイバー,2008,0,
ALL I WANT IS YOU,ハチワンダイバー,2008,0,井上優弥子
Schlaflied,魔王,2008,0,井上優弥子
LiVE/EViL,魔王,2008,0,
BeeLzeBuB,魔王,2008,0,
RequieM,魔王,2008,0,
LuCiFer,魔王,2008,0,
AstArOth,魔王,2008,0,
fLEurEttY,魔王,2008,0,
pSYCHOMETRy,魔王,2008,0,
aGaLiaRePT,魔王,2008,0,
GracE,魔王,2008,0,
sAtAnAchiA,魔王,2008,0,
luciFUGE,魔王,2008,0,
saRgaTaNAs,魔王,2008,0,
cliché,魔王,2008,0,大川茂奈美
LiVE/EViL (guitar version),魔王,2008,0,
gEHENNa,魔王,2008,0,
GracE (guitar version),魔王,2008,0,
neBirOs,魔王,2008,0,
Oblivion-・Male・Expiation・Nightmare,魔王,2008,0,
666,魔王,2008,0,
LiVE/EViL (orchestra version),魔王,2008,0,
Schlaflied (chorus version),魔王,2008,0,井上優弥子
PRISONER,プリズナー,2008,0,
BLACK MARIA,プリズナー,2008,0,
ILLEGAL,プリズナー,2008,0,
JUDGE,プリズナー,2008,0,
JAILBREAK,プリズナー,2008,0,
SIGN,プリズナー,2008,0,
BETRAYER,プリズナー,2008,0,
SERAIVIA,プリズナー,2008,0,
DISTRESS,プリズナー,2008,0,
TRUST,プリズナー,2008,0,
DESPERADO,プリズナー,2008,0,
GAME,プリズナー,2008,0,
PURSUER,プリズナー,2008,0,
SEARCH,プリズナー,2008,0,
SIGN <guitar version>,プリズナー,2008,0,
SWINDLE,プリズナー,2008,0,
SLAYER,プリズナー,2008,0,
DISORDER,プリズナー,2008,0,
LIFE,プリズナー,2008,0,山本結
murder case,トライアングル,2009,0,河合夕子
tragedy,トライアングル,2009,0,
incompetent fool,トライアングル,2009,0,
madness,トライアングル,2009,0,
tragedy <internal version>,トライアングル,2009,0,
ill will,トライアングル,2009,0,
acute angle & right angle,トライアングル,2009,0,
murder case <Quartet version>,トライアングル,2009,0,
scars of love,トライアングル,2009,0,Cyua
BaNG!!,BOSS（第一期）,2009,0,河合夕子
BaNG!!,BOSS（第一期）,2009,0,井上優弥子
BaNG!!,BOSS（第一期）,2009,0,Sen
BaNG!!,BOSS（第一期）,2009,0,Melo-J
BaNG!!,BOSS（第一期）,2009,0,yassh!!
80$$,BOSS（第一期）,2009,0,
Licht,BOSS（第一期）,2009,0,
GtPfEp,BOSS（第一期）,2009,0,
violet tone,BOSS（第一期）,2009,0,
Secret Weakness,BOSS（第一期）,2009,0,KAKA from THEATRE ACADEMY
Heaven's Door,戦国BASARA,2009,0,
The Beginning Of The SENGOKU Era,戦国BASARA,2009,0,
ZipangU,戦国BASARA,2009,0,
GYOKURO,戦国BASARA,2009,0,
DARK CLOUD ～at the end of the road,戦国BASARA,2009,0,
Shut up ～Go to Hell,戦国BASARA,2009,0,
meditation ～wander,戦国BASARA,2009,0,
Peaceful Days,戦国BASARA,2009,0,
Luster.,戦国BASARA,2009,0,
mastermind,戦国BASARA,2009,0,
BLAZE ～Crimson Lotus～,戦国BASARA,2009,0,
cruel AND unusual,戦国BASARA,2009,0,
RAN,戦国BASARA,2009,0,
stand FACE To face,戦国BASARA,2009,0,
NINJA ～SAMURAI,戦国BASARA,2009,0,
Critical Heat,戦国BASARA,2009,0,
That's part of being a warrior,戦国BASARA,2009,0,
WA-SA-BI ～aiyaiyaiya-aiyaiya～,戦国BASARA,2009,0,
胡蝶の夢,戦国BASARA,2009,0,
奥州筆頭,戦国BASARA,2009,0,
戦神覇王,戦国BASARA,2009,0,
鉄拳 ～甲斐の虎より愛を込めて～,戦国BASARA,2009,0,
水光に映る従夢,戦国BASARA,2009,0,
浮世の習い,戦国BASARA,2009,0,
第六天魔王,戦国BASARA,2009,0,
冷眼下瞰,戦国BASARA,2009,0,
天覇絶槍,戦国BASARA,2009,0,
時は戦国、群雄割拠の時代,戦国BASARA,2009,0,
どこの祭りに行ったか知らねえが、やけにハッピーな野郎だな ～笑えないジョークだ,戦国BASARA,2009,0,
華麗なるなんとか,戦国BASARA,2009,0,
蒼天疾駆,戦国BASARA,2009,0,
破敗,戦国BASARA,2009,0,
龍魔 <天下統一絵巻>,戦国BASARA,2009,0,
Black & Blue Room,musica,2009,0,
